predicate_raw,memories,relation_type,arity,similarity
gardening_tools,2,grows,set,0.483
gardening_infrastructure,2,grows,set,0.529
garden_projects,2,grows,set,0.550
garden_crops,2,grows,set,0.547
garden_additions,2,grows,set,0.504
gaming_goals,2,current_goal,single,0.567
gaming_goal,2,current_goal,single,0.535
gaming_activity,2,practises_hobby,set,0.454
game_score,2,other,unknown,0.160
game_playtime,2,other,unknown,0.251
fundraising_requirement,2,other,unknown,0.295
fundraising_events,2,attended,set,0.420
friends,2,knows_person,set,0.415
friend_interests,2,knows_person,set,0.477
frequented_stores,2,other,unknown,0.321
french_learning_resources,2,other,unknown,0.279
food_storage,2,cooked,set,0.383
food_preferences,2,prefers,single,0.520
food_preference,2,prefers,single,0.562
food_order_plan,2,planned_event,event,0.514
food_order,2,ate_at,set,0.591
food_delivery_usage,2,ate_at,set,0.369
food_consumption,2,dietary_rule,single,0.469
flight_history,2,event_occurred,event,0.399
flight_experience,2,other,unknown,0.308
fitness_tracker_interest,2,other,unknown,0.326
fitness_performance,2,other,unknown,0.338
fitness_class,2,other,unknown,0.343
fitness_achievement,2,other,unknown,0.336
fishing_trips,2,other,unknown,0.312
fishing_plans,2,planned_event,event,0.269
financial_status,2,financial_activity,set,0.564
finance_recommendation,2,recommended,speech,0.500
film_event_attendance,2,attended,set,0.570
film_development_recommendation,2,recommended,speech,0.397
festival_recommendation,2,recommended,speech,0.411
favorite_authors,2,other,unknown,0.299
farm_improvement_plans,2,planned_event,event,0.272
farm_equipment,2,owns,set,0.357
family_status,2,relationship_status,single,0.704
family_reunion,2,other,unknown,0.311
family_origin,2,other,unknown,0.318
family_heritage,2,relationship_status,single,0.397
family_background,2,relationship_status,single,0.405
external_hard_drive,2,other,unknown,0.256
expense_tracking_method,2,financial_activity,set,0.401
exoskeleton_mobility,2,other,unknown,0.181
exhibitions_visited,2,visited,set,0.579
exhibitions_attended,2,attended,set,0.592
exhibitions,2,attended,set,0.385
exercise_schedule,2,routine,single,0.533
exercise_plan,2,planned_event,event,0.445
events_participated,2,attended,set,0.595
event_interest,2,event_occurred,event,0.527
event_details,2,event_occurred,event,0.617
ev_market_policy,2,other,unknown,0.241
essential_oils,2,other,unknown,0.232
engineering_projects,2,other,unknown,0.317
email_correspondence,2,other,unknown,0.310
elsie_internship,2,other,unknown,0.251
element_name_suggestion,2,recommended,speech,0.190
electronics,2,other,unknown,0.256
egg_stock,2,other,unknown,0.253
education_history,2,event_occurred,event,0.395
education_activities,2,studies,single,0.442
editorial_focus,2,other,unknown,0.340
economic_impact_data,2,financial_activity,set,0.376
eco_friendly_products,2,other,unknown,0.263
donated_items,2,owns,set,0.425
discount_offer,2,other,unknown,0.162
dining_history,2,event_occurred,event,0.483
dietary_restriction,2,dietary_rule,single,0.698
dietary_recommendation,2,recommended,speech,0.492
dietary_preferences,2,dietary_rule,single,0.548
dietary_plans,2,planned_event,event,0.494
dietary_goal,2,current_goal,single,0.500
diet_log,2,dietary_rule,single,0.375
diet_advice,2,recommended,speech,0.458
definition,2,other,unknown,0.237
decor_style,2,other,unknown,0.216
decluttering_method,2,other,unknown,0.159
day_sculpting_program,2,other,unknown,0.254
dance_plans,2,planned_event,event,0.323
dance_interests,2,practises_hobby,set,0.362
daily_habit,2,routine,single,0.658
daily_activities,2,practises_hobby,set,0.594
cyprus_governance_systems,2,other,unknown,0.162
cycling_gear,2,owns,set,0.375
cycling_events,2,planned_event,event,0.364
custom_games,2,other,unknown,0.319
currently_reading,2,read,set,0.621
current_writing_project,2,other,unknown,0.340
current_activity,2,current_goal,single,0.355
credit_card_info,2,other,unknown,0.238
craft_projects,2,practises_hobby,set,0.366
craft_project,2,other,unknown,0.309
coworker_baby,2,other,unknown,0.318
courses_completed,2,completed,set,0.656
coupon_management,2,other,unknown,0.242
coupon_inventory,2,other,unknown,0.223
couch,2,other,unknown,0.274
corporate_divestments,2,other,unknown,0.270
corporate_acquisitions,2,acquired,set,0.479
cooking_frequency,2,cooked,set,0.443
cooking_experiment,2,cooked,set,0.510
cooking_experience,2,cooked,set,0.587
content_plans,2,planned_event,event,0.420
contacts,2,other,unknown,0.304
consignment_recommendation,2,recommended,speech,0.402
conference_location,2,attended,set,0.451
concert_tickets,2,attended,set,0.358
concert_companions,2,other,unknown,0.349
compost_maintenance,2,other,unknown,0.217
commute_train_time,2,other,unknown,0.224
commute_route,2,visited,set,0.362
commute_plans,2,planned_event,event,0.260
commute_distance,2,other,unknown,0.276
coffee_shop,2,other,unknown,0.337
coffee_recipe,2,other,unknown,0.288
coffee_maker,2,other,unknown,0.233
coffee_beans,2,other,unknown,0.275
coding_resources,2,other,unknown,0.215
coding_projects,2,other,unknown,0.274
coding_daily_duration,2,routine,single,0.363
codestates_model,2,changed_state,event,0.424
cocktail_tasting,2,other,unknown,0.263
cloud_storage,2,other,unknown,0.295
clothing_brands,2,owns,set,0.387
closet_recommendation,2,recommended,speech,0.276
client_software_stack,2,uses_tool,single,0.369
client_interactions,2,other,unknown,0.330
cleaning_tool_usage,2,uses_tool,single,0.534
cleaning_supplies,2,other,unknown,0.293
cleaning_habit,2,routine,single,0.444
cleaning_advice,2,recommended,speech,0.285
classes_enrolled,2,studies,single,0.373
classes_attended,2,attended,set,0.616
church_attendance,2,attended,set,0.428
christina_hyde_education,2,other,unknown,0.268
chicken_feed_purchase,2,acquired,set,0.327
chicken_care,2,other,unknown,0.245
chicago_travel_tips,2,other,unknown,0.266
charity_team,2,other,unknown,0.331
charity_activity,2,practises_hobby,set,0.355
caregiving,2,other,unknown,0.235
card_game_rules,2,other,unknown,0.271
car_maintenance_advice,2,recommended,speech,0.245
car_interest,2,financial_activity,set,0.430
car_insurance,2,drives,single,0.408
camping_trips,2,visited,set,0.355
camping_plan,2,planned_event,event,0.234
camera_owned,2,owns,set,0.507
camera_gear_recommendations,2,recommended,speech,0.305
caffeine_info,2,other,unknown,0.224
business_tasks,2,works_at,single,0.374
business_strategy,2,current_goal,single,0.370
business_recommendation,2,recommended,speech,0.446
business_owned,2,owns,set,0.562
business_inventory,2,owns,set,0.351
business_entity,2,other,unknown,0.350
budgeting_app,2,financial_activity,set,0.511
brand_recommendations,2,recommended,speech,0.360
brand_recommendation,2,recommended,speech,0.342
boxing_match_result,2,other,unknown,0.170
books_reading_status,2,read,set,0.691
books_published,2,read,set,0.559
books_listening_status,2,read,set,0.521
booking_platform,2,other,unknown,0.287
booked_accommodation,2,visited,set,0.350
book_summary,2,read,set,0.424
book_events,2,event_occurred,event,0.506
book_collection,2,owns,set,0.462
book_club_reading,2,read,set,0.605
board_games_to_play,2,other,unknown,0.286
blog_target_audience,2,other,unknown,0.264
blog_project,2,other,unknown,0.238
bjj_training_program,2,other,unknown,0.184
birding_life_list,2,other,unknown,0.249
birding_equipment,2,owns,set,0.255
bird_species_count,2,other,unknown,0.217
bike_share_fees,2,other,unknown,0.175
bike_purchase,2,acquired,set,0.279
bike_expenses,2,financial_activity,set,0.402
bible_verse_analysis,2,other,unknown,0.113
beyonce_projects,2,other,unknown,0.268
beer_recommendation,2,recommended,speech,0.316
bedside_lamp_bulb,2,other,unknown,0.152
bedroom_layout,2,other,unknown,0.256
bedroom_decor,2,other,unknown,0.310
bbq_menu,2,ate_at,set,0.366
bathroom_trash_can,2,other,unknown,0.237
bathroom_towels,2,other,unknown,0.193
bathroom_storage_recommendations,2,recommended,speech,0.214
bank_account,2,other,unknown,0.287
baking_recommendation,2,recommended,speech,0.394
baking_project,2,cooked,set,0.441
baking_activity,2,cooked,set,0.402
bakery_recommendation,2,recommended,speech,0.308
baked_goods,2,cooked,set,0.490
backyard_wildlife,2,other,unknown,0.338
backyard_plans,2,planned_event,event,0.366
automl_research,2,other,unknown,0.292
australian_army_deployments,2,other,unknown,0.125
audiobooks_recommended,2,listened_to,set,0.381
audiobooks_listened,2,listened_to,set,0.510
audiobook_recommendations,2,recommended,speech,0.402
audiobook_narrator,2,other,unknown,0.283
attended_events,2,attended,set,0.801
asylum_status,2,health_status,single,0.445
assistant_written_text,2,explained,speech,0.499
assistant_video_description,2,explained,speech,0.514
assistant_resource,2,explained,speech,0.578
assistant_guide,2,recommended,speech,0.661
assistant_generated_template,2,other,unknown,0.332
assistant_belief,2,explained,speech,0.454
assistant_addiction_treatment_advice,2,recommended,speech,0.330
artist_interest,2,other,unknown,0.327
article_outlines,2,read,set,0.392
art_supply_recommendation,2,recommended,speech,0.331
art_supplies,2,other,unknown,0.312
art_studio,2,other,unknown,0.220
art_sold,2,other,unknown,0.284
art_project_materials,2,other,unknown,0.232
art_materials,2,other,unknown,0.221
art_exhibition_plans,2,planned_event,event,0.360
art_events,2,event_occurred,event,0.490
aquariums,2,other,unknown,0.323
apps_planned,2,planned_event,event,0.362
applicant_habits,2,routine,single,0.366
app_project,2,other,unknown,0.298
app_feature,2,other,unknown,0.309
app_analysis,2,other,unknown,0.275
anniversary_date,2,milestone,event,0.541
alcohol_inventory,2,other,unknown,0.271
aircraft_specs,2,other,unknown,0.149
air_travel_history,2,event_occurred,event,0.390
ai_challenges,2,other,unknown,0.263
adventure_activities,2,practises_hobby,set,0.547
activity_participation,2,practises_hobby,set,0.517
activities,2,practises_hobby,set,0.582
action_figures,2,other,unknown,0.290
academic_projects,2,studies,single,0.474
academic_milestone,2,milestone,event,0.724
academic_goals,2,current_goal,single,0.574
academic_achievements,2,milestone,event,0.432
zumba_instructor,1,other,unknown,0.222
zucchini_noodle_recommendation,1,recommended,speech,0.214
zombie_types,1,other,unknown,0.142
zombie_name,1,other,unknown,0.157
youtube_watch_hours_goal,1,current_goal,single,0.308
youtube_viewership,1,watched,set,0.423
youtube_video,1,other,unknown,0.326
youtube_monetization_goal,1,current_goal,single,0.305
youtube_channel,1,watched,set,0.371
yoga_youtube_recommendations,1,recommended,speech,0.307
yoga_wheel_recommendation,1,recommended,speech,0.217
yoga_style,1,other,unknown,0.302
yoga_studio_search_recommendation,1,recommended,speech,0.310
yoga_studio_preferences,1,other,unknown,0.227
yoga_strap_recommendation,1,recommended,speech,0.200
yoga_status,1,health_status,single,0.461
yoga_skills,1,routine,single,0.356
yoga_session_invitees,1,other,unknown,0.324
yoga_routine_recommendation,1,recommended,speech,0.376
yoga_resources,1,other,unknown,0.286
yoga_preference,1,other,unknown,0.332
yoga_poses,1,other,unknown,0.254
yoga_platform_recommendations,1,recommended,speech,0.248
yoga_mat_recommendation,1,recommended,speech,0.239
yoga_mat_bag_recommendation,1,recommended,speech,0.184
yoga_mat,1,other,unknown,0.209
yoga_history,1,event_occurred,event,0.292
yoga_goals,1,current_goal,single,0.387
yoga_gear_recommendations,1,recommended,speech,0.267
yoga_experience,1,other,unknown,0.313
yoga_equipment_plan,1,planned_event,event,0.315
yoga_classes_count,1,other,unknown,0.273
yoga_class_schedule,1,routine,single,0.436
yoga_class_recommendation,1,recommended,speech,0.313
yoga_channel_recommendations,1,recommended,speech,0.359
yoga_channel_recommendation,1,recommended,speech,0.368
yoga_channel_choice,1,other,unknown,0.319
yoga_bolster_recommendation,1,recommended,speech,0.306
yoga_block_recommendation,1,recommended,speech,0.275
yoga_bags,1,other,unknown,0.164
yoga_bag_features,1,other,unknown,0.187
yoga_apps,1,other,unknown,0.234
yoga_app_recommendation,1,recommended,speech,0.337
yoga_app,1,other,unknown,0.245
yerba_mate_sources,1,other,unknown,0.130
yarn_supplier,1,other,unknown,0.230
yarn_product,1,other,unknown,0.222
yamaha_yas_209_limitations,1,other,unknown,0.135
yamaha_yas_209_features,1,other,unknown,0.142
written_works,1,read,set,0.390
written_pieces,1,other,unknown,0.332
writing_time,1,other,unknown,0.313
writing_speed,1,other,unknown,0.287
writing_project_target,1,current_goal,single,0.468
writing_project_details,1,completed,set,0.355
writing_interests,1,other,unknown,0.348
writing_instruction_resource,1,other,unknown,0.332
writing_habit,1,routine,single,0.420
writing_goal,1,current_goal,single,0.654
writing_challenges,1,other,unknown,0.225
writing_challenge_progress,1,completed,set,0.358
writing_challenge,1,other,unknown,0.237
writing_buddy,1,other,unknown,0.301
writing_activity,1,practises_hobby,set,0.405
writing_activities,1,practises_hobby,set,0.445
workshops_planned,1,attended,set,0.403
workshop_plan,1,planned_event,event,0.365
workshop_attended,1,attended,set,0.606
workshop,1,attended,set,0.394
workplace_hiring,1,works_at,single,0.526
workout_top_recommendations,1,recommended,speech,0.280
workout_streak,1,routine,single,0.383
workout_progress,1,routine,single,0.360
workout_preference,1,routine,single,0.401
workout_podcast_recommendations,1,recommended,speech,0.401
workout_playlist_recommendation,1,recommended,speech,0.322
workout_plan,1,planned_event,event,0.439
workout_legging_recommendations,1,recommended,speech,0.250
workout_headphone_recommendations,1,recommended,speech,0.271
workout_attendance,1,attended,set,0.386
working_directory,1,other,unknown,0.323
workforce_development_partners,1,works_at,single,0.389
workflow_steps,1,other,unknown,0.252
workflow_diagram_topics,1,other,unknown,0.281
work_tools,1,uses_tool,single,0.628
work_stress_factors,1,other,unknown,0.322
work_status,1,health_status,single,0.468
work_project_structure,1,works_at,single,0.437
work_project_goals,1,current_goal,single,0.615
work_habits,1,routine,single,0.585
work_footwear,1,works_at,single,0.371
work_focus,1,works_as,single,0.392
work_evaluation,1,works_at,single,0.426
work_desk_snacks,1,other,unknown,0.260
work_departure_time,1,other,unknown,0.317
work_department_average_age,1,other,unknown,0.296
work_deadlines,1,other,unknown,0.253
work_conversations,1,works_as,single,0.387
work_authorization,1,works_at,single,0.473
work_arrival_time,1,works_at,single,0.364
work_advice,1,recommended,speech,0.372
womens_clothing_subscription_recommendation,1,recommended,speech,0.274
wishlist_games,1,other,unknown,0.232
wingman_use_case,1,other,unknown,0.177
wingman_usability,1,other,unknown,0.277
winery_visits,1,other,unknown,0.338
wine_purchased,1,acquired,set,0.384
wine_preparation,1,other,unknown,0.217
wine_possession,1,owns,set,0.536
wine_pairing_suggestions,1,other,unknown,0.179
wine_inventory,1,other,unknown,0.297
window_shades_search,1,other,unknown,0.152
willow_technique_name,1,other,unknown,0.180
willow_technique_hypotheses,1,other,unknown,0.166
willow_technique_components,1,other,unknown,0.180
willow_mothers,1,other,unknown,0.157
wildlife_refuge_features,1,other,unknown,0.210
wildlife_refuge_distance,1,other,unknown,0.161
wildlife_care,1,other,unknown,0.339
wifi_router,1,other,unknown,0.133
whole_grain_bread_recommendations,1,recommended,speech,0.247
whatsapp_usage_history,1,event_occurred,event,0.275
whatsapp_purpose,1,other,unknown,0.241
whatsapp_groups_managed,1,other,unknown,0.245
whatsapp_groups,1,other,unknown,0.204
wellness_routine,1,routine,single,0.540
wellness_practices,1,health_status,single,0.408
wellness_goals,1,current_goal,single,0.481
wellbeing,1,other,unknown,0.350
weight_loss_goal,1,current_goal,single,0.486
weight_change,1,other,unknown,0.261
weekly_tasks,1,routine,single,0.429
weekly_mileage,1,other,unknown,0.206
weekly_meeting,1,attended,set,0.422
weekend_wake_up_time,1,routine,single,0.510
weekend_wake_time,1,routine,single,0.472
weekend_snack_policy,1,dietary_rule,single,0.385
weekend_event_recommendations,1,recommended,speech,0.424
weekend_bedtime,1,other,unknown,0.341
weekday_wake_up_time,1,routine,single,0.545
weekday_activities,1,routine,single,0.447
wedding_gift,1,milestone,event,0.371
website_template,1,other,unknown,0.116
website_tech_stack,1,other,unknown,0.232
website_recommendation,1,recommended,speech,0.398
website_projects,1,other,unknown,0.249
website_project_details,1,other,unknown,0.247
website_platform,1,other,unknown,0.262
webcam_recommendations,1,recommended,speech,0.253
web_framework,1,other,unknown,0.335
weather_app_recommendations,1,recommended,speech,0.260
water_sports,1,other,unknown,0.274
water_reminder_schedule,1,routine,single,0.361
water_intake,1,other,unknown,0.143
water_feature_recommendation,1,recommended,speech,0.323
water_bottle_search,1,other,unknown,0.114
watching_list,1,watched,set,0.627
watched_movies,1,watched,set,0.675
watched_media,1,watched,set,0.585
watched_content,1,watched,set,0.646
watch_wishlist,1,watched,set,0.378
watch_list,1,watched,set,0.595
watch_condition,1,watched,set,0.473
watch_charging_method,1,watched,set,0.352
watch_brand_recommendations,1,recommended,speech,0.471
watch,1,watched,set,0.574
warranty_info,1,other,unknown,0.240
warranty,1,other,unknown,0.241
wardrobe_strategy,1,other,unknown,0.205
wardrobe_recommendation,1,recommended,speech,0.347
wallet_purchase_plan,1,planned_event,event,0.297
wallet_consideration,1,financial_activity,set,0.447
wallet_case_recommendations,1,recommended,speech,0.199
wallet,1,other,unknown,0.332
walking_routine_recommendations,1,recommended,speech,0.373
wake_up_aid_recommendation,1,recommended,speech,0.312
wake_time,1,routine,single,0.455
vtm_character_skills,1,other,unknown,0.213
vtm_character_name,1,other,unknown,0.164
vtm_character_details,1,other,unknown,0.146
vtm_character_backstory,1,other,unknown,0.199
vr_ar_resources,1,other,unknown,0.202
vpn_security_setup,1,other,unknown,0.101
volunteering_hours,1,other,unknown,0.339
volunteering_goal,1,current_goal,single,0.553
volunteering_activity,1,practises_hobby,set,0.499
volunteer_opportunities,1,other,unknown,0.313
volunteer_experience,1,other,unknown,0.293
volleyball_team_record,1,team_size,single,0.363
volleyball_team_rank,1,team_size,single,0.391
volleyball_team,1,team_size,single,0.366
volleyball_position,1,other,unknown,0.277
volleyball_performance,1,other,unknown,0.276
volleyball_league_start,1,other,unknown,0.168
vocal_warmups,1,other,unknown,0.181
vlogging_camera_interest,1,other,unknown,0.296
vitamin_c_serum_recommendations,1,recommended,speech,0.194
visited_boutiques,1,visited,set,0.384
visited_attractions,1,visited,set,0.631
visit_plan,1,planned_event,event,0.521
visa_status,1,health_status,single,0.413
violin_bow,1,other,unknown,0.135
vinyl_wishlist,1,other,unknown,0.245
vinyl_selling_platforms,1,other,unknown,0.295
vinyl_record_sold,1,other,unknown,0.309
vinyl_production_run,1,other,unknown,0.209
vinyl_preorder_date,1,other,unknown,0.236
vinyl_marketplace,1,other,unknown,0.278
vinyl_grading_guide,1,other,unknown,0.176
vinyl_for_sale,1,other,unknown,0.256
vinyl_collection_size,1,other,unknown,0.268
vinyl_collection_item,1,owns,set,0.381
vinyasa_tops,1,other,unknown,0.163
vinyasa_bottoms,1,other,unknown,0.104
viewing_time,1,watched,set,0.419
viewing_schedule,1,routine,single,0.387
viewing_plans,1,planned_event,event,0.430
viewing_plan,1,planned_event,event,0.403
video_ad_project,1,other,unknown,0.308
veterinarian,1,owns_pet,single,0.379
vet_visit,1,visited,set,0.352
vet_plans,1,planned_event,event,0.307
vermouth_recommendation,1,recommended,speech,0.275
venue_recommendation,1,recommended,speech,0.362
venue_pricing,1,other,unknown,0.274
venue_contact,1,attended,set,0.474
vendor_recommendations,1,recommended,speech,0.414
vendor_encounter,1,other,unknown,0.246
vehicle_test_drive,1,drives,single,0.523
vehicle_fuel_economy,1,other,unknown,0.314
vehicle_accessories,1,drives,single,0.445
vegan_salad_dressings,1,other,unknown,0.209
vegan_salad_additions,1,other,unknown,0.228
vegan_recipes,1,other,unknown,0.345
vegan_protein_sources,1,other,unknown,0.134
vegan_dessert_options,1,other,unknown,0.193
vegan_cheese_brands,1,other,unknown,0.170
vedic_practices,1,other,unknown,0.232
varnish_recommendation,1,recommended,speech,0.303
vancouver_transportation,1,other,unknown,0.209
vancouver_neighborhoods,1,lives_in,single,0.424
vancouver_grocery_stores,1,other,unknown,0.276
vancouver_attractions,1,other,unknown,0.299
val_missions,1,other,unknown,0.212
val_employment_status,1,other,unknown,0.279
vaccinations,1,other,unknown,0.231
vaccination_requirements,1,other,unknown,0.249
vaccination_plan,1,planned_event,event,0.262
vaccination,1,other,unknown,0.208
vacations,1,visited,set,0.456
vacation_status,1,visited,set,0.436
vacation_plan,1,planned_event,event,0.394
vacation_location,1,visited,set,0.558
vacation_guests,1,visited,set,0.412
vacation_flights,1,visited,set,0.445
vacation_booking,1,visited,set,0.421
uttarakhand_historical_landmarks,1,other,unknown,0.254
uttarakhand_cultural_events,1,other,unknown,0.339
user_zip_code,1,other,unknown,0.276
user_writing,1,other,unknown,0.298
user_tools,1,uses_tool,single,0.630
user_state,1,changed_state,event,0.396
user_role,1,works_as,single,0.407
user_request,1,other,unknown,0.243
user_provided_url,1,other,unknown,0.179
user_provided_text,1,other,unknown,0.340
user_project,1,other,unknown,0.299
user_pregnancy,1,other,unknown,0.245
user_preferences,1,prefers,single,0.567
user_preference_song_lyrics,1,prefers,single,0.499
user_preference,1,prefers,single,0.593
user_pig_farming_plan,1,planned_event,event,0.279
user_occupation,1,works_as,single,0.606
user_intentions,1,current_goal,single,0.460
user_intent,1,current_goal,single,0.361
user_industry,1,works_at,single,0.398
user_identity,1,other,unknown,0.325
user_groups,1,team_size,single,0.362
user_game_project,1,other,unknown,0.257
user_employment,1,works_at,single,0.562
user_eco_habits,1,financial_activity,set,0.363
user_demographics,1,other,unknown,0.322
user_company_business,1,works_at,single,0.459
user_background,1,other,unknown,0.177
user_age_relative,1,other,unknown,0.298
user_activity,1,practises_hobby,set,0.359
upcoming_trip_itinerary,1,planned_event,event,0.473
upcoming_trip_dates,1,planned_event,event,0.466
upcoming_travel,1,planned_event,event,0.480
upcoming_presentations,1,planned_event,event,0.442
upcoming_gigs,1,other,unknown,0.323
upcoming_auditions,1,other,unknown,0.252
university_initiatives,1,other,unknown,0.334
university_collaborations,1,other,unknown,0.319
university_application,1,studies,single,0.362
ukulele_recommendations,1,recommended,speech,0.250
ukulele_purchase_goal,1,current_goal,single,0.309
ukulele_learning_resources,1,other,unknown,0.221
ukulele_interest,1,other,unknown,0.262
ukulele_access,1,other,unknown,0.153
uk_trade_agreements,1,other,unknown,0.230
uav_project_name,1,other,unknown,0.263
typewriter_weight,1,other,unknown,0.160
typewriter_production_years,1,other,unknown,0.244
typewriter_owned,1,owns,set,0.369
twitter_usage,1,other,unknown,0.273
twitter_scheduling,1,other,unknown,0.331
twitter_header,1,other,unknown,0.163
twitter_content_topics,1,other,unknown,0.288
twitter_chat_history,1,event_occurred,event,0.321
twitter_activity,1,other,unknown,0.257
tv_watchlist_strategy,1,watched,set,0.554
tv_watchlist,1,watched,set,0.598
tv_viewing_time,1,watched,set,0.445
tv_tracking_app,1,watched,set,0.391
tv_show_progress,1,watched,set,0.425
tv_show_habit,1,routine,single,0.448
tv_show_examples,1,watched,set,0.472
tv_comparison,1,watched,set,0.417
troubleshooting,1,other,unknown,0.167
trips_planned,1,visited,set,0.507
tripod_upgrade_consideration,1,other,unknown,0.128
tripod_specs,1,other,unknown,0.158
tripod,1,other,unknown,0.206
trip_transportation,1,visited,set,0.513
trip_planning_tools,1,visited,set,0.378
trip_gear,1,owns,set,0.356
trip_destination_distance,1,visited,set,0.431
trip_destination,1,visited,set,0.594
trip_date_preference,1,visited,set,0.403
trip_consideration,1,visited,set,0.555
trip_companions,1,visited,set,0.461
triathlon_recommendation,1,recommended,speech,0.202
triathlon_participation,1,other,unknown,0.305
triathlon_history,1,event_occurred,event,0.233
trellis_sealant,1,other,unknown,0.146
treatment_center,1,other,unknown,0.275
treasury_team_revenue_projection,1,other,unknown,0.280
treasury_team_cost_savings,1,financial_activity,set,0.321
treadmill_recommendations,1,recommended,speech,0.247
travel_wifi_recommendations,1,recommended,speech,0.267
travel_vouchers,1,other,unknown,0.236
travel_tolerance,1,visited,set,0.468
travel_timing,1,visited,set,0.418
travel_time,1,visited,set,0.491
travel_sustainability_tips,1,visited,set,0.421
travel_supplies,1,other,unknown,0.313
travel_preferences,1,visited,set,0.554
travel_insurance,1,visited,set,0.370
travel_inquiries,1,visited,set,0.434
travel_info,1,visited,set,0.519
travel_incidents,1,visited,set,0.438
travel_guests,1,visited,set,0.488
travel_gear_recommendations,1,recommended,speech,0.336
travel_gear_purchased,1,owns,set,0.441
travel_frequency,1,visited,set,0.368
travel_documents,1,visited,set,0.439
travel_details,1,visited,set,0.583
travel_bookings,1,visited,set,0.410
travel_arrival,1,visited,set,0.470
travel_agency_recommendations,1,recommended,speech,0.429
travel_agencies,1,visited,set,0.416
travel_accommodations,1,visited,set,0.551
transportation_plans,1,planned_event,event,0.361
transportation_mode,1,other,unknown,0.344
transportation_expenses,1,financial_activity,set,0.402
translation_requests,1,other,unknown,0.259
transcript_participants,1,other,unknown,0.273
training_strategy,1,other,unknown,0.300
training_schedule,1,routine,single,0.361
training_programs,1,other,unknown,0.313
training_methods,1,other,unknown,0.274
train_usage_frequency,1,other,unknown,0.243
train_ticket_cost,1,other,unknown,0.114
train_pass_cost,1,other,unknown,0.085
train_commute_time,1,other,unknown,0.216
trail_rules,1,other,unknown,0.274
trade_show_strategy,1,other,unknown,0.189
tracking_method,1,other,unknown,0.235
toy_collection,1,owns,set,0.346
tourism_promotion,1,visited,set,0.360
tour_selection,1,visited,set,0.461
tour_recommendation,1,recommended,speech,0.448
tour_pricing,1,other,unknown,0.308
tour_plans,1,planned_event,event,0.438
tour_offer,1,other,unknown,0.278
toothpaste_type,1,other,unknown,0.214
toothpaste_recommendations,1,recommended,speech,0.291
toothpaste,1,other,unknown,0.211
toothbrush_recommendations,1,recommended,speech,0.297
tools_owned,1,owns,set,0.518
tokyo_renewable_target,1,other,unknown,0.259
tokyo_accommodation_budget,1,financial_activity,set,0.258
toilet_cleaner_choice,1,other,unknown,0.220
tofu_recipe_recommendation,1,recommended,speech,0.302
to_read_list,1,read,set,0.477
to_do_list,1,other,unknown,0.322
to_do,1,other,unknown,0.270
tirana_restaurants,1,other,unknown,0.346
time_tracking_tools,1,event_occurred,event,0.379
time_off,1,other,unknown,0.258
time_consuming_tasks,1,other,unknown,0.295
tiktok_growth,1,other,unknown,0.206
tiktok_engagement,1,other,unknown,0.242
tidying_routine,1,routine,single,0.403
tidying_method,1,other,unknown,0.145
thomas_diet,1,dietary_rule,single,0.424
thesis_title,1,other,unknown,0.339
thesis_proposal_date,1,other,unknown,0.318
thesis_advisor,1,recommended,speech,0.380
therapy_frequency,1,other,unknown,0.307
therapy,1,other,unknown,0.280
therapist,1,other,unknown,0.268
theme_park_visits,1,visited,set,0.398
theatrical_role,1,other,unknown,0.326
theatre_roles,1,other,unknown,0.298
theater_interests,1,other,unknown,0.324
thai_red_curry_paste_brands,1,other,unknown,0.253
thai_food_recommendation,1,recommended,speech,0.329
test_preparation,1,other,unknown,0.340
test_drive_scheduled,1,other,unknown,0.275
tent_recommendation,1,recommended,speech,0.251
tennis_tracking_recommendations,1,recommended,speech,0.271
tennis_tournament,1,other,unknown,0.252
tennis_style,1,other,unknown,0.252
tennis_sock_recommendation,1,recommended,speech,0.166
tennis_serve_issues,1,other,unknown,0.112
tennis_sensor_price,1,other,unknown,0.074
tennis_schedule,1,routine,single,0.264
tennis_match_history,1,event_occurred,event,0.339
tennis_lessons_count,1,other,unknown,0.244
tennis_lessons,1,other,unknown,0.265
tennis_league,1,other,unknown,0.259
tennis_instructor,1,other,unknown,0.291
tennis_goals,1,current_goal,single,0.346
tennis_fan,1,other,unknown,0.215
tennis_courts,1,other,unknown,0.201
tennis_achievement,1,other,unknown,0.264
tempeh_recipe_recommendation,1,recommended,speech,0.386
telegram_usage,1,other,unknown,0.303
technical_troubleshooting,1,other,unknown,0.162
technical_task,1,other,unknown,0.330
technical_skills,1,other,unknown,0.318
technical_question,1,other,unknown,0.207
tech_support,1,other,unknown,0.252
tech_stack_recommendations,1,recommended,speech,0.370
tech_skill_level,1,other,unknown,0.270
tech_reviewers,1,recommended,speech,0.385
tech_interest,1,studies,single,0.402
team_outing_plan,1,planned_event,event,0.450
team_outing_attendees,1,attended,set,0.547
team_leader,1,team_size,single,0.527
team_conflict_resolution_plan,1,planned_event,event,0.486
team_conflict_resolution_intent,1,team_size,single,0.383
teaching_staff,1,other,unknown,0.321
teaching_experience,1,other,unknown,0.320
tea_recommendations,1,recommended,speech,0.331
tea_recommendation,1,recommended,speech,0.339
tea_interests,1,other,unknown,0.248
tea_infuser,1,other,unknown,0.159
